"시도별","산업별","항목","시점",데이터
"전국","한식 음식점업","20～29석","2019",53266
"전국","한식 음식점업","30～49석","2017",81905
"전국","한식 음식점업","30～49석","2018",98074
"전국","한식 음식점업","30～49석","2019",91739
"전국","한식 음식점업","50～99석","2017",90745
"전국","한식 음식점업","50～99석","2018",78056
"전국","한식 음식점업","50～99석","2019",85892
"전국","한식 음식점업","100석 이상","2017",30726
"전국","한식 음식점업","100석 이상","2018",29978
"전국","한식 음식점업","100석 이상","2019",30770
"전국","한식 일반 음식점업","사업체수","2017",192124
"전국","한식 일반 음식점업","사업체수","2018",188565
"전국","한식 일반 음식점업","사업체수","2019",190476
"전국","한식 일반 음식점업","9석 이하","2017",14347
"전국","한식 일반 음식점업","9석 이하","2018",17079
"전국","한식 일반 음식점업","9석 이하","2019",16315
"전국","한식 일반 음식점업","10～19석","2017",25078
"전국","한식 일반 음식점업","10～19석","2018",22467
"전국","한식 일반 음식점업","10～19석","2019",22004
"전국","한식 일반 음식점업","20～29석","2017",34302
"전국","한식 일반 음식점업","20～29석","2018",33666
"전국","한식 일반 음식점업","20～29석","2019",34268
"전국","한식 일반 음식점업","30～49석","2017",51146
"전국","한식 일반 음식점업","30～49석","2018",55587
"전국","한식 일반 음식점업","30～49석","2019",57812
"전국","한식 일반 음식점업","50～99석","2017",50309
"전국","한식 일반 음식점업","50～99석","2018",43146
"전국","한식 일반 음식점업","50～99석","2019",44563
"전국","한식 일반 음식점업","100석 이상","2017",16942
"전국","한식 일반 음식점업","100석 이상","2018",16619
"전국","한식 일반 음식점업","100석 이상","2019",15513
"전국","한식 면 요리 전문점","사업체수","2017",21455
"전국","한식 면 요리 전문점","사업체수","2018",22028
"전국","한식 면 요리 전문점","사업체수","2019",22669
"전국","한식 면 요리 전문점","9석 이하","2017",756
"전국","한식 면 요리 전문점","9석 이하","2018",606
"전국","한식 면 요리 전문점","9석 이하","2019",1656
"전국","한식 면 요리 전문점","10～19석","2017",2547
"전국","한식 면 요리 전문점","10～19석","2018",1708
"전국","한식 면 요리 전문점","10～19석","2019",3200
"전국","한식 면 요리 전문점","20～29석","2017",5402
"전국","한식 면 요리 전문점","20～29석","2018",5590
"전국","한식 면 요리 전문점","20～29석","2019",4031
"전국","한식 면 요리 전문점","30～49석","2017",6307
"전국","한식 면 요리 전문점","30～49석","2018",7212
"전국","한식 면 요리 전문점","30～49석","2019",6833
"전국","한식 면 요리 전문점","50～99석","2017",5203
"전국","한식 면 요리 전문점","50～99석","2018",5676
"전국","한식 면 요리 전문점","50～99석","2019",5704
"전국","한식 면 요리 전문점","100석 이상","2017",1240
"전국","한식 면 요리 전문점","100석 이상","2018",1236
"전국","한식 면 요리 전문점","100석 이상","2019",1245
"전국","한식 육류 요리 전문점","사업체수","2017",67733
"전국","한식 육류 요리 전문점","사업체수","2018",72878
"전국","한식 육류 요리 전문점","사업체수","2019",74536
"전국","한식 육류 요리 전문점","9석 이하","2017",2895
"전국","한식 육류 요리 전문점","9석 이하","2018",2324
"전국","한식 육류 요리 전문점","9석 이하","2019",2402
"전국","한식 육류 요리 전문점","10～19석","2017",4063
"전국","한식 육류 요리 전문점","10～19석","2018",2244
"전국","한식 육류 요리 전문점","10～19석","2019",5166
"전국","한식 육류 요리 전문점","20～29석","2017",9828
"전국","한식 육류 요리 전문점","20～29석","2018",12537
"전국","한식 육류 요리 전문점","20～29석","2019",10811
"전국","한식 육류 요리 전문점","30～49석","2017",15366
"전국","한식 육류 요리 전문점","30～49석","2018",25625
"전국","한식 육류 요리 전문점","30～49석","2019",19692
"전국","한식 육류 요리 전문점","50～99석","2017",26531
"전국","한식 육류 요리 전문점","50～99석","2018",20702
"전국","한식 육류 요리 전문점","50～99석","2019",26764
"전국","한식 육류 요리 전문점","100석 이상","2017",9050
"전국","한식 육류 요리 전문점","100석 이상","2018",9446
"전국","한식 육류 요리 전문점","100석 이상","2019",9702
"전국","한식 해산물 요리 전문점","사업체수","2017",29380
"전국","한식 해산물 요리 전문점","사업체수","2018",30091
"전국","한식 해산물 요리 전문점","사업체수","2019",29544
"전국","한식 해산물 요리 전문점","9석 이하","2017",1143
"전국","한식 해산물 요리 전문점","9석 이하","2018",1312
"전국","한식 해산물 요리 전문점","9석 이하","2019",1319
"전국","한식 해산물 요리 전문점","10～19석","2017",2248
"전국","한식 해산물 요리 전문점","10～19석","2018",3019
"전국","한식 해산물 요리 전문점","10～19석","2019",3496
"전국","한식 해산물 요리 전문점","20～29석","2017",4706
"전국","한식 해산물 요리 전문점","20～29석","2018",4904
"전국","한식 해산물 요리 전문점","20～29석","2019",4156
"전국","한식 해산물 요리 전문점","30～49석","2017",9087
"전국","한식 해산물 요리 전문점","30～49석","2018",9650
"전국","한식 해산물 요리 전문점","30～49석","2019",7402
"전국","한식 해산물 요리 전문점","50～99석","2017",8701
"전국","한식 해산물 요리 전문점","50～99석","2018",8531
"전국","한식 해산물 요리 전문점","50～99석","2019",8861
"전국","한식 해산물 요리 전문점","100석 이상","2017",3494
"전국","한식 해산물 요리 전문점","100석 이상","2018",2676
"전국","한식 해산물 요리 전문점","100석 이상","2019",4310
"전국","외국식 음식점업","사업체수","2017",52238
"전국","외국식 음식점업","사업체수","2018",55136
"전국","외국식 음식점업","사업체수","2019",58386
"전국","외국식 음식점업","9석 이하","2017",2127
"전국","외국식 음식점업","9석 이하","2018",3587
"전국","외국식 음식점업","9석 이하","2019",3415
"전국","외국식 음식점업","10～19석","2017",7444
"전국","외국식 음식점업","10～19석","2018",5739
"전국","외국식 음식점업","10～19석","2019",9192
"전국","외국식 음식점업","20～29석","2017",10162
"전국","외국식 음식점업","20～29석","2018",12273
"전국","외국식 음식점업","20～29석","2019",11850
"전국","외국식 음식점업","30～49석","2017",16898
"전국","외국식 음식점업","30～49석","2018",18598
"전국","외국식 음식점업","30～49석","2019",17457
"전국","외국식 음식점업","50～99석","2017",11205
"전국","외국식 음식점업","50～99석","2018",11670
"전국","외국식 음식점업","50～99석","2019",12505
"전국","외국식 음식점업","100석 이상","2017",4402
"전국","외국식 음식점업","100석 이상","2018",3269
"전국","외국식 음식점업","100석 이상","2019",3967
"전국","중식 음식점업","사업체수","2017",24839
"전국","중식 음식점업","사업체수","2018",24546
"전국","중식 음식점업","사업체수","2019",25615
"전국","중식 음식점업","9석 이하","2017",1274
"전국","중식 음식점업","9석 이하","2018",1619
"전국","중식 음식점업","9석 이하","2019",1453
"전국","중식 음식점업","10～19석","2017",4013
"전국","중식 음식점업","10～19석","2018",2623
"전국","중식 음식점업","10～19석","2019",4488
"전국","중식 음식점업","20～29석","2017",5212
"전국","중식 음식점업","20～29석","2018",4795
"전국","중식 음식점업","20～29석","2019",5385
"전국","중식 음식점업","30～49석","2017",8345
"전국","중식 음식점업","30～49석","2018",8747
"전국","중식 음식점업","30～49석","2019",7042
"전국","중식 음식점업","50～99석","2017",4732
"전국","중식 음식점업","50～99석","2018",5517
"전국","중식 음식점업","50～99석","2019",5791
"전국","중식 음식점업","100석 이상","2017",1264
"전국","중식 음식점업","100석 이상","2018",1245
"전국","중식 음식점업","100석 이상","2019",1456
"전국","일식 음식점업","사업체수","2017",11714
"전국","일식 음식점업","사업체수","2018",13436
"전국","일식 음식점업","사업체수","2019",13982
"전국","일식 음식점업","9석 이하","2017",360
"전국","일식 음식점업","9석 이하","2018",847
"전국","일식 음식점업","9석 이하","2019",973
"전국","일식 음식점업","10～19석","2017",2044
"전국","일식 음식점업","10～19석","2018",1542
"전국","일식 음식점업","10～19석","2019",2443
"전국","일식 음식점업","20～29석","2017",2260
"전국","일식 음식점업","20～29석","2018",4167
"전국","일식 음식점업","20～29석","2019",2974
"전국","일식 음식점업","30～49석","2017",4043
"전국","일식 음식점업","30～49석","2018",4276
"전국","일식 음식점업","30～49석","2019",4131
"전국","일식 음식점업","50～99석","2017",2231
"전국","일식 음식점업","50～99석","2018",1915
"전국","일식 음식점업","50～99석","2019",2731
"전국","일식 음식점업","100석 이상","2017",776
"전국","일식 음식점업","100석 이상","2018",688
"전국","일식 음식점업","100석 이상","2019",730
"전국","서양식 음식점업","사업체수","2017",11831
"전국","서양식 음식점업","사업체수","2018",12607
"전국","서양식 음식점업","사업체수","2019",13540
"전국","서양식 음식점업","9석 이하","2017",381
"전국","서양식 음식점업","9석 이하","2018",807
"전국","서양식 음식점업","9석 이하","2019",714
"전국","서양식 음식점업","10～19석","2017",1143
"전국","서양식 음식점업","10～19석","2018",1067
"전국","서양식 음식점업","10～19석","2019",1812
"전국","서양식 음식점업","20～29석","2017",2031
"전국","서양식 음식점업","20～29석","2018",2655
"전국","서양식 음식점업","20～29석","2019",2302
"전국","서양식 음식점업","30～49석","2017",3080
"전국","서양식 음식점업","30～49석","2018",4146
"전국","서양식 음식점업","30～49석","2019",4471
"전국","서양식 음식점업","50～99석","2017",3099
"전국","서양식 음식점업","50～99석","2018",2692
"전국","서양식 음식점업","50～99석","2019",2756
"전국","서양식 음식점업","100석 이상","2017",2096
"전국","서양식 음식점업","100석 이상","2018",1240
"전국","서양식 음식점업","100석 이상","2019",1486
"전국","기타 외국식 음식점업","사업체수","2017",3854
"전국","기타 외국식 음식점업","사업체수","2018",4547
"전국","기타 외국식 음식점업","사업체수","2019",5249
"전국","기타 외국식 음식점업","9석 이하","2017",112
"전국","기타 외국식 음식점업","9석 이하","2018",314
"전국","기타 외국식 음식점업","9석 이하","2019",275
"전국","기타 외국식 음식점업","10～19석","2017",243
"전국","기타 외국식 음식점업","10～19석","2018",507
"전국","기타 외국식 음식점업","10～19석","2019",449
"전국","기타 외국식 음식점업","20～29석","2017",659
"전국","기타 외국식 음식점업","20～29석","2018",657
"전국","기타 외국식 음식점업","20～29석","2019",1190
"전국","기타 외국식 음식점업","30～49석","2017",1430
"전국","기타 외국식 음식점업","30～49석","2018",1429
"전국","기타 외국식 음식점업","30～49석","2019",1813
"전국","기타 외국식 음식점업","50～99석","2017",1143
"전국","기타 외국식 음식점업","50～99석","2018",1546
"전국","기타 외국식 음식점업","50～99석","2019",1227
"전국","기타 외국식 음식점업","100석 이상","2017",267
"전국","기타 외국식 음식점업","100석 이상","2018",95
"전국","기타 외국식 음식점업","100석 이상","2019",295
"전국","기관 구내식당업","사업체수","2017",11178
"전국","기관 구내식당업","사업체수","2018",11325
"전국","기관 구내식당업","사업체수","2019",11203
"전국","기관 구내식당업","9석 이하","2017",594
"전국","기관 구내식당업","9석 이하","2018",456
"전국","기관 구내식당업","9석 이하","2019",341
"전국","기관 구내식당업","10～19석","2017",312
"전국","기관 구내식당업","10～19석","2018",325
"전국","기관 구내식당업","10～19석","2019",525
"전국","기관 구내식당업","20～29석","2017",606
"전국","기관 구내식당업","20～29석","2018",332
"전국","기관 구내식당업","20～29석","2019",243
"전국","기관 구내식당업","30～49석","2017",1348
"전국","기관 구내식당업","30～49석","2018",1834
"전국","기관 구내식당업","30～49석","2019",2019
"전국","기관 구내식당업","50～99석","2017",3547
"전국","기관 구내식당업","50～99석","2018",3634
"전국","기관 구내식당업","50～99석","2019",3259
"전국","기관 구내식당업","100석 이상","2017",4771
"전국","기관 구내식당업","100석 이상","2018",4743
"전국","기관 구내식당업","100석 이상","2019",4815
"전국","기관 구내식당업","사업체수","2017",11178
"전국","기관 구내식당업","사업체수","2018",11325
"전국","기관 구내식당업","사업체수","2019",11203
"전국","기관 구내식당업","9석 이하","2017",594
"전국","기관 구내식당업","9석 이하","2018",456
"전국","기관 구내식당업","9석 이하","2019",341
"전국","기관 구내식당업","10～19석","2017",312
"전국","기관 구내식당업","10～19석","2018",325
"전국","기관 구내식당업","10～19석","2019",525
"전국","기관 구내식당업","20～29석","2017",606
"전국","기관 구내식당업","20～29석","2018",332
"전국","기관 구내식당업","20～29석","2019",243
"전국","기관 구내식당업","30～49석","2017",1348
"전국","기관 구내식당업","30～49석","2018",1834
"전국","기관 구내식당업","30～49석","2019",2019
"전국","기관 구내식당업","50～99석","2017",3547
"전국","기관 구내식당업","50～99석","2018",3634
"전국","기관 구내식당업","50～99석","2019",3259
"전국","기관 구내식당업","100석 이상","2017",4771
"전국","기관 구내식당업","100석 이상","2018",4743
"전국","기관 구내식당업","100석 이상","2019",4815
"전국","출장 및 이동 음식점업","사업체수","2017",598
"전국","출장 및 이동 음식점업","사업체수","2018",563
"전국","출장 및 이동 음식점업","사업체수","2019",621
"전국","출장 및 이동 음식점업","9석 이하","2017",470
"전국","출장 및 이동 음식점업","9석 이하","2018",532
"전국","출장 및 이동 음식점업","9석 이하","2019",540
"전국","출장 및 이동 음식점업","10～19석","2017",2
"전국","출장 및 이동 음식점업","10～19석","2018",7
"전국","출장 및 이동 음식점업","10～19석","2019",5
"전국","출장 및 이동 음식점업","20～29석","2017",47
"전국","출장 및 이동 음식점업","20～29석","2018",3
"전국","출장 및 이동 음식점업","20～29석","2019",12
"전국","출장 및 이동 음식점업","30～49석","2017",13
"전국","출장 및 이동 음식점업","30～49석","2018",1
"전국","출장 및 이동 음식점업","30～49석","2019",8
"전국","출장 및 이동 음식점업","50～99석","2017",12
"전국","출장 및 이동 음식점업","50～99석","2018",9
"전국","출장 및 이동 음식점업","50～99석","2019",27
"전국","출장 및 이동 음식점업","100석 이상","2017",55
"전국","출장 및 이동 음식점업","100석 이상","2018",12
"전국","출장 및 이동 음식점업","100석 이상","2019",30
"전국","출장 음식 서비스업","사업체수","2017",598
"전국","출장 음식 서비스업","사업체수","2018",563
"전국","출장 음식 서비스업","사업체수","2019",621
"전국","출장 음식 서비스업","9석 이하","2017",470
"전국","출장 음식 서비스업","9석 이하","2018",532
"전국","출장 음식 서비스업","9석 이하","2019",540
"전국","출장 음식 서비스업","10～19석","2017",2
"전국","출장 음식 서비스업","10～19석","2018",7
"전국","출장 음식 서비스업","10～19석","2019",5
"전국","출장 음식 서비스업","20～29석","2017",47
"전국","출장 음식 서비스업","20～29석","2018",3
"전국","출장 음식 서비스업","20～29석","2019",12
"전국","출장 음식 서비스업","30～49석","2017",13
"전국","출장 음식 서비스업","30～49석","2018",1
"전국","출장 음식 서비스업","30～49석","2019",8
"전국","출장 음식 서비스업","50～99석","2017",12
"전국","출장 음식 서비스업","50～99석","2018",9
"전국","출장 음식 서비스업","50～99석","2019",27
"전국","출장 음식 서비스업","100석 이상","2017",55
"전국","출장 음식 서비스업","100석 이상","2018",12
"전국","출장 음식 서비스업","100석 이상","2019",30
"전국","기타 간이 음식점업","사업체수","2017",122209
"전국","기타 간이 음식점업","사업체수","2018",125821
"전국","기타 간이 음식점업","사업체수","2019",131359
"전국","기타 간이 음식점업","9석 이하","2017",37417
"전국","기타 간이 음식점업","9석 이하","2018",45979
"전국","기타 간이 음식점업","9석 이하","2019",48298
"전국","기타 간이 음식점업","10～19석","2017",31859
"전국","기타 간이 음식점업","10～19석","2018",28044
"전국","기타 간이 음식점업","10～19석","2019",31111
"전국","기타 간이 음식점업","20～29석","2017",23459
"전국","기타 간이 음식점업","20～29석","2018",23698
"전국","기타 간이 음식점업","20～29석","2019",26173
"전국","기타 간이 음식점업","30～49석","2017",17011
"전국","기타 간이 음식점업","30～49석","2018",16893
"전국","기타 간이 음식점업","30～49석","2019",16236
"전국","기타 간이 음식점업","50～99석","2017",10042
"전국","기타 간이 음식점업","50～99석","2018",9107
"전국","기타 간이 음식점업","50～99석","2019",7229
"전국","기타 간이 음식점업","100석 이상","2017",2422
"전국","기타 간이 음식점업","100석 이상","2018",2101
"전국","기타 간이 음식점업","100석 이상","2019",2312
"전국","제과점업","사업체수","2017",17075
"전국","제과점업","사업체수","2018",19390
"전국","제과점업","사업체수","2019",21470
"전국","제과점업","9석 이하","2017",8483
"전국","제과점업","9석 이하","2018",11201
"전국","제과점업","9석 이하","2019",11953
"전국","제과점업","10～19석","2017",4522
"전국","제과점업","10～19석","2018",4484
"전국","제과점업","10～19석","2019",5028
"전국","제과점업","20～29석","2017",2286
"전국","제과점업","20～29석","2018",1812
"전국","제과점업","20～29석","2019",2483
"전국","제과점업","30～49석","2017",1166
"전국","제과점업","30～49석","2018",1062
"전국","제과점업","30～49석","2019",1466
"전국","제과점업","50～99석","2017",501
"전국","제과점업","50～99석","2018",747
"전국","제과점업","50～99석","2019",487
"전국","제과점업","100석 이상","2017",116
"전국","제과점업","100석 이상","2018",85
"전국","제과점업","100석 이상","2019",53
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","사업체수","2017",17785
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","사업체수","2018",19017
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","사업체수","2019",20290
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","9석 이하","2017",6076
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","9석 이하","2018",6296
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","9석 이하","2019",7827
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","10～19석","2017",4121
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","10～19석","2018",3725
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","10～19석","2019",3400
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","20～29석","2017",2266
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","20～29석","2018",2607
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","20～29석","2019",2659
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","30～49석","2017",2066
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","30～49석","2018",2445
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","30～49석","2019",2764
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","50～99석","2017",2352
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","50～99석","2018",2934
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","50～99석","2019",2641
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","100석 이상","2017",904
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","100석 이상","2018",1010
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업","100석 이상","2019",999
"전국","치킨 전문점","사업체수","2017",38099
"전국","치킨 전문점","사업체수","2018",36791
"전국","치킨 전문점","사업체수","2019",37508
"전국","치킨 전문점","9석 이하","2017",11490
"전국","치킨 전문점","9석 이하","2018",12726
"전국","치킨 전문점","9석 이하","2019",11726
"전국","치킨 전문점","10～19석","2017",8756
"전국","치킨 전문점","10～19석","2018",6160
"전국","치킨 전문점","10～19석","2019",8932
"전국","치킨 전문점","20～29석","2017",6557
"전국","치킨 전문점","20～29석","2018",7176
"전국","치킨 전문점","20～29석","2019",8598
"전국","치킨 전문점","30～49석","2017",6925
"전국","치킨 전문점","30～49석","2018",6389
"전국","치킨 전문점","30～49석","2019",5512
"전국","치킨 전문점","50～99석","2017",3967
"전국","치킨 전문점","50～99석","2018",3806
"전국","치킨 전문점","50～99석","2019",2082
"전국","치킨 전문점","100석 이상","2017",404
"전국","치킨 전문점","100석 이상","2018",534
"전국","치킨 전문점","100석 이상","2019",658
"전국","김밥 및 기타 간이 음식점업","사업체수","2017",41933
"전국","김밥 및 기타 간이 음식점업","사업체수","2018",43212
"전국","김밥 및 기타 간이 음식점업","사업체수","2019",44495
"전국","김밥 및 기타 간이 음식점업","9석 이하","2017",7028
"전국","김밥 및 기타 간이 음식점업","9석 이하","2018",10001
"전국","김밥 및 기타 간이 음식점업","9석 이하","2019",11395
"전국","김밥 및 기타 간이 음식점업","10～19석","2017",13285
"전국","김밥 및 기타 간이 음식점업","10～19석","2018",13053
"전국","김밥 및 기타 간이 음식점업","10～19석","2019",12917
"전국","김밥 및 기타 간이 음식점업","20～29석","2017",11455
"전국","김밥 및 기타 간이 음식점업","20～29석","2018",11803
"전국","김밥 및 기타 간이 음식점업","20～29석","2019",11891
"전국","김밥 및 기타 간이 음식점업","30～49석","2017",6419
"전국","김밥 및 기타 간이 음식점업","30～49석","2018",6615
"전국","김밥 및 기타 간이 음식점업","30～49석","2019",6110
"전국","김밥 및 기타 간이 음식점업","50～99석","2017",2903
"전국","김밥 및 기타 간이 음식점업","50～99석","2018",1505
"전국","김밥 및 기타 간이 음식점업","50～99석","2019",1731
"전국","김밥 및 기타 간이 음식점업","100석 이상","2017",842
"전국","김밥 및 기타 간이 음식점업","100석 이상","2018",235
"전국","김밥 및 기타 간이 음식점업","100석 이상","2019",451
"전국","간이 음식 포장 판매 전문점","사업체수","2017",7317
"전국","간이 음식 포장 판매 전문점","사업체수","2018",7411
"전국","간이 음식 포장 판매 전문점","사업체수","2019",7596
"전국","간이 음식 포장 판매 전문점","9석 이하","2017",4339
"전국","간이 음식 포장 판매 전문점","9석 이하","2018",5755
"전국","간이 음식 포장 판매 전문점","9석 이하","2019",5397
"전국","간이 음식 포장 판매 전문점","10～19석","2017",1174
"전국","간이 음식 포장 판매 전문점","10～19석","2018",623
"전국","간이 음식 포장 판매 전문점","10～19석","2019",834
"전국","간이 음식 포장 판매 전문점","20～29석","2017",895
"전국","간이 음식 포장 판매 전문점","20～29석","2018",300
"전국","간이 음식 포장 판매 전문점","20～29석","2019",543
"전국","간이 음식 포장 판매 전문점","30～49석","2017",436
"전국","간이 음식 포장 판매 전문점","30～49석","2018",381
"전국","간이 음식 포장 판매 전문점","30～49석","2019",383
"전국","간이 음식 포장 판매 전문점","50～99석","2017",318
"전국","간이 음식 포장 판매 전문점","50～99석","2018",116
"전국","간이 음식 포장 판매 전문점","50～99석","2019",288
"전국","간이 음식 포장 판매 전문점","100석 이상","2017",156
"전국","간이 음식 포장 판매 전문점","100석 이상","2018",237
"전국","간이 음식 포장 판매 전문점","100석 이상","2019",152
"전국","주점 및 비알코올 음료점업","사업체수","2017",194836
"전국","주점 및 비알코올 음료점업","사업체수","2018",202607
"전국","주점 및 비알코올 음료점업","사업체수","2019",208583
"전국","주점 및 비알코올 음료점업","9석 이하","2017",13116
"전국","주점 및 비알코올 음료점업","9석 이하","2018",19334
"전국","주점 및 비알코올 음료점업","9석 이하","2019",23310
"전국","주점 및 비알코올 음료점업","10～19석","2017",33628
"전국","주점 및 비알코올 음료점업","10～19석","2018",38999
"전국","주점 및 비알코올 음료점업","10～19석","2019",39983
"전국","주점 및 비알코올 음료점업","20～29석","2017",49384
"전국","주점 및 비알코올 음료점업","20～29석","2018",49474
"전국","주점 및 비알코올 음료점업","20～29석","2019",50489
"전국","주점 및 비알코올 음료점업","30～49석","2017",53857
"전국","주점 및 비알코올 음료점업","30～49석","2018",56599
"전국","주점 및 비알코올 음료점업","30～49석","2019",54636
"전국","주점 및 비알코올 음료점업","50～99석","2017",35045
"전국","주점 및 비알코올 음료점업","50～99석","2018",28495
"전국","주점 및 비알코올 음료점업","50～99석","2019",32137
"전국","주점 및 비알코올 음료점업","100석 이상","2017",9806
"전국","주점 및 비알코올 음료점업","100석 이상","2018",9706
"전국","주점 및 비알코올 음료점업","100석 이상","2019",8028
"전국","주점업","사업체수","2017",121018
"전국","주점업","사업체수","2018",119162
"전국","주점업","사업체수","2019",114970
"전국","주점업","9석 이하","2017",4728
"전국","주점업","9석 이하","2018",7684
"전국","주점업","9석 이하","2019",9423
"전국","주점업","10～19석","2017",19692
"전국","주점업","10～19석","2018",21610
"전국","주점업","10～19석","2019",20797
"전국","주점업","20～29석","2017",31563
"전국","주점업","20～29석","2018",29870
"전국","주점업","20～29석","2019",32144
"전국","주점업","30～49석","2017",37166
"전국","주점업","30～49석","2018",36075
"전국","주점업","30～49석","2019",31620
"전국","주점업","50～99석","2017",22358
"전국","주점업","50～99석","2018",19108
"전국","주점업","50～99석","2019",17467
"전국","주점업","100석 이상","2017",5510
"전국","주점업","100석 이상","2018",4815
"전국","주점업","100석 이상","2019",3518
"전국","일반 유흥 주점업","사업체수","2017",32319
"전국","일반 유흥 주점업","사업체수","2018",29905
"전국","일반 유흥 주점업","사업체수","2019",29448
"전국","일반 유흥 주점업","9석 이하","2017",977
"전국","일반 유흥 주점업","9석 이하","2018",1746
"전국","일반 유흥 주점업","9석 이하","2019",2153
"전국","일반 유흥 주점업","10～19석","2017",7543
"전국","일반 유흥 주점업","10～19석","2018",5187
"전국","일반 유흥 주점업","10～19석","2019",6680
"전국","일반 유흥 주점업","20～29석","2017",8907
"전국","일반 유흥 주점업","20～29석","2018",6372
"전국","일반 유흥 주점업","20～29석","2019",9000
"전국","일반 유흥 주점업","30～49석","2017",9059
"전국","일반 유흥 주점업","30～49석","2018",10752
"전국","일반 유흥 주점업","30～49석","2019",7819
"전국","일반 유흥 주점업","50～99석","2017",4640
"전국","일반 유흥 주점업","50～99석","2018",5008
"전국","일반 유흥 주점업","50～99석","2019",3360
"전국","일반 유흥 주점업","100석 이상","2017",1193
"전국","일반 유흥 주점업","100석 이상","2018",840
"전국","일반 유흥 주점업","100석 이상","2019",437
"전국","무도 유흥 주점업","사업체수","2017",1814
"전국","무도 유흥 주점업","사업체수","2018",1934
"전국","무도 유흥 주점업","사업체수","2019",1944
"전국","무도 유흥 주점업","9석 이하","2017",127
"전국","무도 유흥 주점업","9석 이하","2018",85
"전국","무도 유흥 주점업","9석 이하","2019",164
"전국","무도 유흥 주점업","10～19석","2017",177
"전국","무도 유흥 주점업","10～19석","2018",297
"전국","무도 유흥 주점업","10～19석","2019",234
"전국","무도 유흥 주점업","20～29석","2017",368
"전국","무도 유흥 주점업","20～29석","2018",299
